,,,common_delta_mag,common_delta_mag,common_delta_mag,band_jackknife_max,band_jackknife_max,band_jackknife_max,epoch_jackknife_max,epoch_jackknife_max,epoch_jackknife_max,systematic_common_rms,systematic_common_rms,systematic_common_rms
,,,count,median,<lambda_0>,count,median,<lambda_0>,count,median,<lambda_0>,count,median,<lambda_0>
dataset,IDSURVEY,status,,,,,,,,,,,,
Pantheon,1,local_fit_not_converged,4,0.0245045389802316,0.04558453677680545,4,0.0470258206541766,0.09499605708707015,4,0.2395881929794856,0.5941891266736801,4,0.00384035739410125,0.006408637180647851
Pantheon,1,ok,317,0.0058583251923833,0.03292461211680317,317,0.0410483633126984,0.12356315845310707,317,0.0575792710280654,0.1984040555395316,317,0.00387826237365,0.005109302556886061
Pantheon,4,ok,160,0.010759868330741749,0.023841471790391516,160,0.032881628057901346,0.07689347588122276,160,0.0598807347660031,0.18626128039131948,160,0.0039666770696233505,0.00506780452286753
Pantheon,5,ok,89,0.0312442469620587,0.11757918422623867,89,0.0179350810758857,0.037653489558527,89,0.0323314841798555,0.13075875539216097,89,0.0055758269247773,0.00918802313656618
Pantheon,10,ok,203,0.0048870209317425,0.023966728832156312,203,0.0420677372098477,0.11564265917263912,203,0.0580274744192473,0.18805790979893156,203,0.0059352768770022,0.0081041217393109
Pantheon,15,local_fit_not_converged,1,0.0270179083564085,0.0270179083564085,1,0.1068700338163892,0.1068700338163892,1,0.040855361527899,0.040855361527899,1,0.0125097678199775,0.0125097678199775
Pantheon,15,ok,268,0.006202819936384749,0.030180430958109163,268,0.05157137902474615,0.13340564949583678,268,0.08287712872492775,0.28416289798048144,268,0.0047245194851028,0.00814185799951248
Pantheon,18,ok,15,0.0400450207251128,0.08026696779033483,15,0.0324558493406567,0.07729599281280998,15,0.0503772363030511,0.09941458080068917,15,0.0036738033605602,0.0056203099043011
Pantheon,50,local_fit_not_converged,1,-0.3694710846824698,-0.3694710846824698,1,0.3621358428066876,0.3621358428066876,1,0.0,0.0,1,0.0318252490501238,0.0318252490501238
Pantheon,50,ok,45,0.0166548513509787,0.05045928709827646,45,0.0501630023965179,0.16153780776711812,45,0.0336767330802355,0.12118326378421185,45,0.0068778513091288,0.01207414927068788
Pantheon,51,ok,48,0.0024947611229472,0.022136173959109787,48,0.044024125098795344,0.1584004122474828,48,0.0412862938785688,0.1276408490896024,48,0.007398017240474,0.011978876630951723
Pantheon,56,ok,57,0.0119697818417953,0.09000959513561343,57,0.0480495648558967,0.09217536876355971,57,0.0411630799475472,0.1710236248629177,57,0.0070532807123238,0.0086762555934963
Pantheon,57,ok,105,0.024556992501406,0.06917167366629925,105,0.0403562773221766,0.13193464522176673,105,0.0309732021270532,0.11841150794424306,105,0.0068104638287032,0.010977811997192681
Pantheon,61,local_fit_not_converged,1,-0.0185288862642476,-0.0185288862642476,1,0.167871931830053,0.167871931830053,1,0.0,0.0,1,0.0303948526525172,0.0303948526525172
Pantheon,61,ok,12,0.03038648991669155,0.07839251994551477,12,0.0454011167875714,0.138924362816246,12,0.0543503362827554,0.15281283018939396,12,0.007069743188224099,0.01226942744284043
Pantheon,62,ok,24,0.03523192019271385,0.08743962498307395,24,0.027867655657658398,0.06561359401877,24,0.04253644513316055,0.24327254881212504,24,0.00861548016815655,0.014016432825488699
Pantheon,63,local_fit_not_converged,1,0.0496043602319311,0.0496043602319311,1,0.1754631896808398,0.1754631896808398,1,0.0697912069201972,0.0697912069201972,1,0.0031597598957645,0.0031597598957645
Pantheon,63,ok,33,0.0285720255730425,0.05975613906298266,33,0.0443980591915543,0.09928520494801238,33,0.0418404776610536,0.21306189299579759,33,0.0076526803142752,0.01360298770497922
Pantheon,64,local_fit_not_converged,2,-0.19264425105374872,-0.16964497836521894,2,0.20849811635333695,0.24949092873197076,2,0.21427744124509812,0.31267048432419386,2,0.01622008919629575,0.023636764533216913
Pantheon,64,ok,56,0.026894115600818252,0.08050439125495004,56,0.03283742125752625,0.0840861276580239,56,0.0384476889464682,0.1565985534290486,56,0.006238121872577549,0.01022418176179865
Pantheon,65,ok,38,0.02070687982687925,0.0942603901146345,38,0.04691601842400325,0.16047090483486207,38,0.0846579218814413,0.31779974647883275,38,0.0059853689560963996,0.013583644826838359
Pantheon,66,ok,12,0.04625198371281615,0.12665884558366727,12,0.0396311279714667,0.058954310377441144,12,0.06226114436861005,0.10134880228745818,12,0.00515691394820075,0.011600327222418981
Pantheon,100,local_fit_not_converged,4,-0.03335638367699845,0.006245695264389224,4,0.45279841600051923,12.380905048398068,4,0.04796428054899335,0.2037651152803634,4,0.00466199463112685,0.008177476108709471
Pantheon,100,ok,12,-0.00735909758261085,0.019666597100710562,12,0.08471089116984185,1.3704412556716732,12,0.18965351001905673,1.025721634450597,12,0.0051591709661232,0.00746914094698069
Pantheon,101,local_fit_not_converged,1,-0.0304262393492594,-0.0304262393492594,1,1.4786793097734086,1.4786793097734086,1,1.8844115488744624,1.8844115488744624,1,0.0050952616005606,0.0050952616005606
Pantheon,101,ok,5,0.0090925757356697,0.01305732741935304,5,0.0931531877053732,0.26028791330313134,5,0.624228509861781,1.6737255670759423,5,0.0033810867313686,0.00448744129709296
Pantheon,106,local_fit_not_converged,1,-0.0114324030950814,-0.0114324030950814,1,0.0544506071150251,0.0544506071150251,1,0.0084447463504711,0.0084447463504711,1,0.0033504009980982,0.0033504009980982
Pantheon,106,ok,7,0.0096043624331689,0.019367351516436104,7,0.2760850379673623,13.605189408267858,7,0.2344575500805792,0.49534643629110436,7,0.0056770319529639,0.00953004781458386
