sn_block,uid_i,uid_j,survey_i,survey_j,released_common_difference,sigma_released_common_difference,local_refit_departure_difference,local_photometric_sigma_independent_proxy,raw_error_cross_survey_covariance,fit_i,fit_j
Pantheon:2005bo,P0172,P0173,5,57,0.036400000000000376,0.21424717034304094,-0.042971180058958704,0.008606932947350862,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005cf,P0062,P0063,57,56,-0.013400000000004297,0.13767171096488925,0.0537521663689665,0.01226805547456437,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005cf,P0062,P0064,57,64,-0.0028000000000004965,0.09723677287939991,0.045967516423643905,0.003090823115934435,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005cf,P0063,P0064,56,64,0.0106000000000038,0.12438388159243143,-0.007784649945322599,0.012239734182807705,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005el,P0179,P0180,57,64,0.04789999999999851,0.20058432142119184,0.0213245611215252,0.004310636301108588,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005eq,P0432,P0433,57,5,-0.05019999999999669,0.12060518230988253,0.007837201440045702,0.0051953448350942465,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005eq,P0432,P0434,57,64,-0.051899999999996296,0.12316005846052526,0.006066948262289802,0.007202894384276283,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005eq,P0433,P0434,5,64,-0.0016999999999996046,0.12232591712306923,-0.0017702531777558997,0.005819642239287646,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005eu,P0546,P0547,57,64,-0.0026000000000009904,0.4716288901244282,0.06587917350452019,0.015906101934321876,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005hc,P0620,P0621,64,5,-0.0504999999999996,0.11353417987548947,-0.008607813164777399,0.006734615625600687,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005iq,P0528,P0529,64,5,0.013100000000001402,0.11432348840024084,-0.0181494276418042,0.010318945035091731,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005kc,P0162,P0163,5,64,-0.006199999999999699,0.23667773448298848,0.049904533428103706,0.007804477244557603,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005ki,P0276,P0277,64,5,0.005299999999998306,0.16002681025378218,-0.0057807834703328,0.00826003001759467,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005ki,P0276,P0278,64,51,0.0778000000000034,0.1645861476552629,-0.009368613645880399,0.01558735978874661,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005ki,P0277,P0278,5,51,0.07250000000000509,0.15613686304009058,-0.0035878301755475996,0.013465701253177628,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005m,P0401,P0402,57,5,0.1850000000000022,0.1513901912278335,0.046096979905863505,0.004392751079823846,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005m,P0401,P0403,57,64,0.4581000000000016,0.2587006184762611,-0.1750327726575325,0.026413216451931475,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005m,P0402,P0403,5,64,0.2730999999999994,0.242693345603047,-0.221129752563396,0.02611195480249898,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005mc,P0405,P0406,5,64,-0.0574000000000011,0.16587465146911384,-0.0790381912202099,0.008697379942568986,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005na,P0422,P0423,5,64,-0.04079999999999731,0.12834765288075978,0.05433336933668839,0.01611435793248264,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005na,P0422,P0424,5,57,0.0013000000000004674,0.13056726235929128,0.06558189900542019,0.00942843030812771,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2005na,P0423,P0424,64,57,0.04209999999999778,0.14071030523739192,0.0112485296687318,0.018477496309009207,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ac,P0363,P0364,57,64,0.034099999999995106,0.16905197425643984,-0.0342759285716165,0.020149352759153694,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ax,P0237,P0238,64,5,0.009500000000002798,0.1770151123492003,-0.025443927700703597,0.004074039715717401,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006bt,P0494,P0495,57,5,0.029199999999995896,0.14105672617780407,0.011819935301751502,0.012368316690175898,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006bt,P0494,P0496,57,64,-0.014700000000004793,0.13929619521006306,0.023642222524697803,0.01277991592748988,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006bt,P0495,P0496,5,64,-0.04390000000000069,0.14162411517817156,0.011822287222946301,0.0051451927810675846,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006cp,P0317,P0318,64,57,-0.08890000000000241,0.25012203021725216,-0.002496196526142601,0.011329872605817429,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006d,P0095,P0096,57,5,-0.005900000000003999,0.07805395569732518,0.017773013424880003,0.006126487693111949,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006d,P0095,P0097,57,64,-0.024500000000003297,0.07478729838682505,0.009042201534395902,0.0070621030595650735,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006d,P0096,P0097,5,64,-0.018599999999999298,0.07636831803830697,-0.008730811890484101,0.004183962051547019,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006dm,P0311,P0312,57,56,-0.017499999999998295,0.20041926055147494,0.0087003469065242,0.016877330533725598,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ej,P0269,P0270,57,56,0.09830000000000189,0.23166648441239834,0.0405921408816163,0.01997852255224075,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ej,P0269,P0271,57,5,0.023499999999998605,0.16216741349605354,0.0239352512880316,0.010283912692722226,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ej,P0269,P0272,57,64,-0.0487000000000037,0.1596342068605598,0.057868466582197596,0.01315417250593612,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ej,P0270,P0271,56,5,-0.07480000000000328,0.2347552129346652,-0.0166568895935847,0.019458852669025417,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ej,P0270,P0272,56,64,-0.14700000000000557,0.2303129175708562,0.017276325700581296,0.021116826021900875,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ej,P0271,P0272,5,64,-0.0722000000000023,0.16175002318392417,0.033933215294166,0.012350620961731888,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006en,P0503,P0504,57,64,-0.0373000000000019,0.1360909254873373,0.009890745620709698,0.02241974870358788,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006et,P0302,P0303,64,5,-0.015900000000001996,0.1732731946955443,-0.0028380566632339975,0.013374960286291534,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006gr,P0536,P0537,57,64,-0.0190000000000055,0.12074878881380136,0.0025098638378825977,0.010559683992566881,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006kf,P0259,P0260,5,64,-0.0337999999999993,0.16578232716426683,0.0532328604523144,0.008979567725859217,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ob,P0672,P0673,5,64,0.049700000000001396,0.11059281170130363,-0.0166857360466742,0.010218423389743731,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2006ot,P0656,P0657,5,64,0.3245999999999966,0.17944820979881632,0.25012653587527467,0.03317605082694454,unreleased; sigma is a diagonal diagnostic only,ok,local_fit_not_converged
