uid,epochs_tested,identifiable_epoch_jackknifes,single_epoch_jackknife_max
P0482,18,18,0.03934148707267967
P0483,26,26,0.04728331177476442
P0484,8,8,0.05545555574207966
P0485,6,6,0.061761217336000485
P0486,11,11,0.04326091995078199
P0487,18,18,0.014288683233200504
P0488,19,19,0.00227615013941838
P0489,35,35,0.009249006823193049
P0490,16,16,0.18423958803851734
P0491,5,5,0.09036927820683421
P0492,11,11,0.009016297925926346
P0493,46,46,0.005502595175379054
P0494,21,21,0.06316775105092427
P0495,11,11,0.03486524100311829
P0496,93,93,0.00648409520792911
P0497,32,32,0.03215588178168992
P0498,20,20,0.027495809475952614
P0499,19,19,0.0680054491086067
P0500,13,13,0.009385492436246179
P0501,21,21,0.02175146617577498
P0502,18,18,0.006184310857399552
P0503,16,16,0.02664801841045528
P0504,53,53,0.010843617749765973
P0505,17,17,0.010900452995941026
P0506,17,17,0.026529146949111546
P0507,148,148,0.005016390356671187
P0508,22,22,0.029202109587738726
P0509,23,23,0.09762762131560786
P0510,12,12,0.011897364486821925
P0511,42,42,0.010498370558603492
P0512,14,14,0.05854720144696523
P0513,23,23,0.03527196461583941
P0514,18,18,0.053922937975461
P0515,13,13,0.004346627659949268
P0516,15,15,0.011839518294052026
P0517,17,17,0.004895772539131176
P0518,18,18,0.032032632402110565
P0519,18,18,0.05330649054177353
P0520,59,59,0.009365567352286311
P0521,13,13,0.013156922908503463
P0522,23,23,0.0035481041144199863
P0523,31,31,0.018384412206055273
P0524,22,22,0.01573935909683997
P0525,21,21,0.003053324458662643
P0526,11,11,0.0026039688548210515
P0527,12,12,0.026108091431422936
P0528,67,67,0.006219823298446083
P0529,16,16,0.003365882970076783
P0530,18,18,0.026297711721193672
P0531,30,30,0.02821183593083994
P0532,17,17,0.009856720225392974
P0533,17,17,0.046152090644141434
P0534,106,106,0.005266424283147075
P0535,5,5,0.08563772950789464
P0536,18,18,0.011707058974062854
P0537,93,93,0.0021166003865957035
P0538,25,25,0.048244638151792266
P0539,16,16,0.04942403058759593
P0540,24,24,0.035208557193700696
P0541,11,11,0.012221934674230736
P0542,22,22,0.07063247090146381
P0543,20,20,0.01481991641564781
P0544,29,29,0.029618057089746786
P0545,14,14,0.011881664820765959
P0546,17,17,0.006652776450955634
P0547,96,96,0.023254941561288288
P0548,12,12,0.11302957172963149
P0549,24,24,0.08596126575691018
P0550,5,5,0.08101261055778582
P0551,30,30,0.022948734283751156
P0552,9,9,0.00971117485127443
P0553,18,18,0.08648164854077083
P0554,12,12,0.07261510178819534
P0555,18,18,0.04960245403552522
P0556,24,24,0.024871321785934198
P0557,19,19,0.00663332742845291
P0558,34,34,0.05964011816472896
P0559,29,29,0.02402533073767087
P0560,16,16,0.003696228622640139
