uid,chromatic_residual_chi2,chromatic_rank,phase_given_chromatic_chi2,phase_rank,remaining_chi2,post_source_chi2
P0231,64.69735386534153,6,45.73630158004925,2,136.06744969870886,246.50110514409968
P0232,12.895560479165455,3,27.893364407520494,2,72.9110841683508,113.70000905503672
P0233,97.65975638472966,3,2.0782719569938535,2,230.85088349956146,330.5889118412848
P0234,14.956283919543932,5,154.17184259018072,2,460.1682083976876,629.2963349074122
P0235,17.806777083123194,3,19.574692874211976,2,24.42696186738097,61.808431824716116
P0236,1453.8189487697175,6,463.0158632885319,2,400.32618272339835,2317.160994781649
P0237,28.707540761186557,4,47.91250194629595,2,336.07302458239633,412.6930672898789
P0238,1048.4442785075887,5,617.1871537080441,2,1568.1905354444725,3233.821967660105
P0239,392.98478141798756,4,3.581432318121905,2,242.06844722485715,638.6346609609668
P0240,9.470248820378096,2,9.335688380048246,2,40.74984594212687,59.55578314255321
P0241,10.509895170425224,3,30.69740165426144,2,103.66734182184058,144.87463864652722
P0242,14.549806307210151,3,7.1758377072600465,2,117.7772387216395,139.5028827361097
P0243,172.56887542844547,5,72.06162566742594,2,290.0918179462378,534.7223190421095
P0244,16.182345111575344,3,33.360764879222174,2,67.72019435293578,117.26330434373331
P0245,113.631910052935,3,5.877775034491267,2,359.2770350397315,478.7867201271579
P0246,2189.942280360145,5,72.71136021272098,2,1202.9654801942509,3465.619120767115
P0247,11.744888594155901,3,27.03647336563702,2,367.13080688747897,405.91216884727186
P0248,2.22900181544466,3,55.120379792174454,2,112.84088893661993,170.19027054423898
P0249,17.716135581827015,2,175.58886980696403,2,51.596771268895786,244.901776657687
P0250,10.46957029931994,2,19.281494970326136,2,382.39480141935053,412.14586668899653
P0251,45.78493376899835,3,283.92831281934224,2,64.38018271079756,394.09342929913834
P0252,71.90208829714604,2,2.8339635821694698,2,49.47225045039504,124.20830232971046
P0253,64.91478687814505,2,3.8748152579314223,2,20.219261862149725,89.00886399822623
P0254,85.68691196957003,2,67.27829851845146,2,113.13385091847807,266.0990614064996
P0255,20.07459922682516,3,5.185665031516118,2,59.2944030959657,84.554667354307
P0256,33.42719970778794,3,85.06352273405179,2,24.51058298109854,143.00130542293834
P0257,1.3579506615977441,2,0.5569454454963426,2,2.1955117774661463,4.110407884560232
P0258,130.45756089474202,2,30.14495080340836,2,413.2137906428424,573.8163023409927
P0259,183.78832386783384,5,197.23884348751017,2,2909.7915065774614,3290.8186739328057
P0260,17.9464056051347,3,23.89237057185236,2,246.4803996820995,288.3191758590866
P0261,10.09635553880153,2,12.679769849770583,2,123.12242937886107,145.89855476743313
P0262,86.48223832406745,3,195.90963795661798,2,951.849857025907,1234.241733306592
P0263,94.58061404828695,3,111.02582342603174,2,308.41731312381717,514.0237505981355
P0264,159.43832571711434,2,27.504361592876553,2,315.77319946999506,502.715886779986
P0265,84.50899523025154,4,13.241929822392999,2,91.12128240788566,188.87220746053015
P0266,29.947599935881037,3,290.61826643791306,2,123.86205521060215,444.4279215843964
P0267,106.36390087231693,5,37.20200352121025,2,172.80467477027733,316.37057916380445
P0268,9.99281492200086,3,33.925549038527194,2,24.77512535017703,68.69348931070506
P0269,73.29664659516226,3,5.541607400478775,2,114.0653394778906,192.9035934735316
P0270,23.718321216239655,2,0.41505164502357766,2,32.3400632917713,56.473436153034534
P0271,222.58397414730877,5,4.014051571043346,2,144.9432512157099,371.54127693406207
P0272,93.34789028109851,3,35.002889570182944,2,417.39148692367553,545.7422667749569
P0273,30.56589571211986,4,95.82686007013967,2,50.17602484202103,176.56878062428055
P0274,7.4381853992705045,3,59.814768459321925,2,45.59399658544143,112.84695044403387
P0275,9.440171800503752,2,0.3642257000720526,2,8.250676374430089,18.05507387500589
P0276,15.599169428547588,4,5.934213633675935,2,119.05198768414517,140.5853707463687
P0277,114.28797254355493,5,394.2710686907693,2,2087.2018043990865,2595.7608456334115
P0278,2.1647537268149177,3,7.741103619644389,2,32.277869339728625,42.183726686187924
P0279,80.62743258841567,2,335.1077139862386,2,235.70613671966657,651.4412832943204
P0280,185.50025090656547,7,52.805716406963214,2,123.22411392949769,361.53008124302613
