test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_leave_sky_2,3,0.05,0.1,929,0.4116681238239943,-0.12000488151118156,0.28085957021489255,14.017941130926111,136,0.45327336331834084
P_leave_sky_3,0,0.0,0.01,156,2.0068153989803488,0.9786153350665263,0.04397801099450275,7.161843143873221,361,0.10944527736131934
P_leave_sky_3,1,0.01,0.03,1479,0.6786684928558179,0.2670983141795862,0.19640179910044978,13.518409903878132,361,0.4052973513243378
P_leave_sky_3,2,0.03,0.05,1367,0.5696719827147593,0.3305533047175113,0.25087456271864067,20.25776051677785,277,0.44677661169415295
P_leave_sky_3,3,0.05,0.1,929,-0.3600134671186871,-0.5258509491893633,0.6061969015492253,25.48682262772516,251,0.8330834582708646
P_leave_survey_1,0,0.0,0.01,156,1.1578178951721865,0.8674303714732408,0.1199400299850075,3.3973034353280593,321,0.25737131434282856
P_leave_survey_1,1,0.01,0.03,1479,1.1595766282906212,1.0402066551412152,0.12293853073463268,15.140056999801205,321,0.25687156421789104
P_leave_survey_1,2,0.03,0.05,1367,0.5076544240027474,0.4294885844500782,0.27786106946526734,32.21109636755458,321,0.47226386806596704
P_leave_survey_1,3,0.05,0.1,929,1.1762360209826983,1.120074761078003,0.12143928035982009,50.74189117699312,321,0.25087456271864067
P_leave_survey_4,0,0.0,0.01,156,-1.1178144375517192,-1.127595803985802,0.9735132433783108,3.0298969164295864,160,0.9845077461269365
P_leave_survey_4,1,0.01,0.03,1479,-1.1316466337930866,-1.1454446266654317,0.9740129935032483,3.1643844224522004,160,0.9865067466266867
P_leave_survey_4,2,0.03,0.05,1367,-1.1949522436382716,-1.2069818500304996,0.9920039980009995,3.573148853998045,160,0.999000499750125
P_leave_survey_4,3,0.05,0.1,929,-1.3081316759800583,-1.3317328347016582,0.9980009995002499,4.4559746667850035,160,1.0
P_leave_survey_5,0,0.0,0.01,156,-0.635407662453069,-1.1679128193215815,0.7171414292853573,9.152821399216606,76,0.9270364817591205
P_leave_survey_5,1,0.01,0.03,1479,-0.023194926964299513,-0.5302385891141651,0.4662668665667166,35.30405173777228,76,0.7156421789105447
P_leave_survey_5,2,0.03,0.05,1367,-0.4956550729119235,-0.691049478163427,0.6611694152923538,21.574554828541512,34,0.8895552223888056
P_leave_survey_5,3,0.05,0.1,929,0.6397890778878358,0.23109108705106285,0.22938530734632684,9.919640078405527,12,0.43428285857071464
P_leave_survey_10,0,0.0,0.01,156,-0.9754270171766343,-0.9850137581240151,0.9740129935032483,2.1889218153313683,203,0.9885057471264368
P_leave_survey_10,1,0.01,0.03,1479,-1.043407534429532,-1.0051824858944027,0.9415292353823088,3.395204208251652,203,1.0
P_leave_survey_10,2,0.03,0.05,1367,-1.158595923711263,-1.0665947387166983,0.9510244877561219,6.617217489903431,203,1.0
P_leave_survey_10,3,0.05,0.1,929,-0.847090829771409,-0.78571097969219,0.8115942028985508,9.478045979257166,203,0.9425287356321839
P_leave_survey_15,0,0.0,0.01,156,0.2820801955716656,0.8537693183801778,0.3118440779610195,5.604914630691457,269,0.4522738630684658
P_leave_survey_15,1,0.01,0.03,1479,0.5767177092712085,1.1190721784240307,0.24087956021989004,9.367902563507641,269,0.34832583708145926
P_leave_survey_15,2,0.03,0.05,1367,0.14980098578941817,0.6232782720262187,0.38130934532733635,13.987735092435127,268,0.5062468765617192
P_leave_survey_15,3,0.05,0.1,929,-0.18562484065045762,0.3013195585275831,0.5252373813093453,19.052414899367594,266,0.656671664167916
P_leave_survey_18,0,0.0,0.01,156,-1.0579838210747257,-0.8267917848496901,0.9180409795102449,5.087907040082761,11,1.0
P_leave_survey_18,1,0.01,0.03,1479,-0.7668584939918603,-0.5359091639839634,0.7721139430284858,7.750418615574108,11,0.9185407296351824
P_leave_survey_18,2,0.03,0.05,1367,-0.3957669112811473,-0.30972071426601594,0.5472263868065967,2.3147360654718105,1,0.7651174412793603
P_leave_survey_18,3,0.05,0.1,929,-0.38286606199846585,-0.2863679528013044,0.5407296351824088,2.288086752128843,0,0.7566216891554223
P_leave_survey_50,0,0.0,0.01,156,0.13309356777248557,0.7842279774350291,0.36281859070464767,6.929082503162737,28,0.5067466266866567
P_leave_survey_50,1,0.01,0.03,1479,-0.1679492177375398,0.045943168820835704,0.47726136931534235,8.664169966246327,28,0.6416791604197901
P_leave_survey_50,2,0.03,0.05,1367,-0.09039572887171954,0.010121383976064742,0.42028985507246375,4.401570201643904,12,0.6106946526736632
P_leave_survey_50,3,0.05,0.1,929,-0.00015136631232324612,0.06354908407239024,0.33233383308345826,1.6435497083867867,4,0.5667166416791605
P_leave_survey_51,0,0.0,0.01,156,-0.33662068087445624,-0.6892469356914119,0.5462268865567217,7.863609083193325,38,0.8125937031484258
P_leave_survey_51,1,0.01,0.03,1479,-0.6330443651443602,-0.7822643488764317,0.7061469265367316,19.318164835083927,38,0.9105447276361819
P_leave_survey_51,2,0.03,0.05,1367,0.10549405020247456,0.07983044788560738,0.3798100949525237,7.987135596809657,15,0.6256871564217891
P_leave_survey_51,3,0.05,0.1,929,0.43505758868521743,0.5809955005448809,0.25737131434282856,3.7677964597554183,4,0.4862568715642179
P_leave_survey_56,0,0.0,0.01,156,0.08862584834184155,-0.39897239384245287,0.36931534232883556,7.81568063823223,36,0.6086956521739131
P_leave_survey_56,1,0.01,0.03,1479,-0.3024189044494982,-0.5406328545479628,0.5782108945527237,23.630890334766125,36,0.7871064467766117
P_leave_survey_56,2,0.03,0.05,1367,1.0250974128279036,0.8864827731092493,0.12243878060969515,2.415570201310474,3,0.25537231384307846
P_leave_survey_56,3,0.05,0.1,929,0.9738751116381428,0.8658464523016655,0.12493753123438281,2.317586465103581,1,0.2688655672163918
