x1,c,MWEBV,HOST_LOGMASS,shell0_density_proxy,shell1_density_proxy,shell2_density_proxy,shell3_density_proxy,shell4_density_proxy,shell5_density_proxy,shell6_density_proxy,shell7_density_proxy,lc_delta_c,lc_delta_x1,lc_delta_t0,uid
-0.842252,0.1527,0.00589214,10.199,0.8055177907148997,0.7216951976219813,0.6745446427115078,1.1196708035469056,,,,,0.0036970849049906,0.1926764458650274,0.1042798366761417,D0246
-1.47246,-0.0253696,0.0436178,10.15,1.297894020875295,1.981772897640864,0.9307281909317806,0.6376906037330627,,,,,0.0084988733836091,0.0187635208649001,-0.0205970209135557,D0249
-1.14113,0.0670031,0.00999805,10.322,2.487021329005559,0.4344643423954645,0.7020756078177485,0.7199064120650291,,,,,-0.0123820982767102,0.1381808526889529,0.0532447267323732,D0250
-0.280353,-0.024878,0.00929745,10.862,2.508211886882782,0.4652753700812658,0.7469615823236005,0.8809349846839905,,,,,-0.0201009496511512,-0.2984812048168592,0.247080909590295,D0251
-1.22631,0.2131,0.0229536,10.492,1.4413642168045044,1.2084748417139053,1.24827863635688,1.3152202463150025,,,,,0.0126288441119404,-0.0987282809661656,-0.1730577642374555,D0253
-1.31997,0.13727,0.00762695,10.809,2.497562458117803,0.4477125942707062,0.7573248487094353,0.8609543716907502,,,,,-0.0178854676208896,-0.3554113700896326,0.0264169627116643,D0254
1.29945,0.152,0.0237283,10.678,1.3468706409136455,1.1779957214991252,1.155129109991008,1.148741638660431,,,,,0.1613346733320101,1.3090183052824658,0.4583711572413449,D0255
1.00433,0.1295,0.00804767,9.467,2.5080995778242747,0.4908252209424972,0.8099017050759546,0.9993358006079992,,,,,-0.0155054999400079,0.0115154306916953,-0.108688468731998,D0256
-1.36527,-0.109841,0.00801512,10.068,2.5045063654581705,0.4649372468392054,0.8021169407614346,0.9895330142974852,,,,,-0.0401016057397511,-0.1265611161626385,-0.1340512542665237,D0258
-1.22098,0.0352982,0.0192232,10.19,1.3240553498268128,1.1631327509880065,1.2634027476968437,1.0411369609832763,,,,,-0.0019787448343663,0.0543413551899638,-0.0287327246478525,D0260
