category,uid_i,uid_j,delta_z,angle_deg,W_cosine,same_survey
same_direction_different_z,P0726,P0932,0.11625,0.2665624940403245,0.9978014010593258,True
same_direction_different_z,P0627,P1586,0.57327,0.26788147464726847,0.8202801953364401,True
same_direction_different_z,P1411,P1647,0.32338999999999996,0.26921951744837214,0.9867317191000524,True
same_direction_different_z,P0885,P1047,0.05690999999999999,0.2692916171609854,0.9712286248935351,True
same_direction_different_z,P0946,P1405,0.21043,0.2696132084832689,0.9762031204798698,True
same_direction_different_z,P0757,P0920,0.07560000000000001,0.27097345547492097,0.9770356276802358,True
same_direction_different_z,P0986,P1299,0.12003,0.2725908252819803,0.9949951483643235,True
same_direction_different_z,P1338,P1551,0.21727000000000002,0.27389186880030303,0.9870594334908296,True
same_direction_different_z,P1016,P1305,0.11275999999999997,0.2765853414062498,0.9756156783416058,True
same_direction_different_z,P0865,P1369,0.20105000000000003,0.2775792360188084,0.9894579875495463,True
same_direction_different_z,P0937,P1064,0.046130000000000004,0.28028841685569195,0.9903145417322039,True
same_direction_different_z,P0912,P1366,0.18626000000000004,0.2841030492125016,0.9835890524283866,True
same_direction_different_z,P1274,P1345,0.03295999999999999,0.2854859869308223,0.9860115997545501,True
same_direction_different_z,P1028,P1340,0.12827000000000002,0.28764918955766483,0.9743696160034601,True
same_direction_different_z,P1258,P1467,0.14007999999999998,0.28841665777197967,0.9736053382833559,True
same_direction_different_z,P1460,P1532,0.09663,0.288615215428902,0.9776005914678733,True
same_direction_different_z,P0934,P1213,0.10676999999999998,0.2895374203260088,0.9555586687785904,True
same_direction_different_z,P0776,P1167,0.16005999999999998,0.28971318428362924,0.9808107289715411,True
same_direction_different_z,P1400,P1617,0.2829,0.29069895617880637,0.9790974736298955,True
same_direction_different_z,P0804,P0945,0.059980000000000006,0.2914169497062611,0.9816498172140428,True
same_direction_different_z,P1468,P1653,0.28909999999999997,0.29492817677069644,0.9882238539732269,True
same_direction_different_z,P0929,P1418,0.22534999999999997,0.2952953271233156,0.9758146000030804,True
same_direction_different_z,P1062,P1503,0.26811,0.2978513442368452,0.9549408645339356,True
same_direction_different_z,P1068,P1379,0.13674000000000003,0.30036028066404524,0.9928172026250452,True
same_direction_different_z,P1561,P1641,0.15288000000000002,0.30236110856903503,0.9830212912041953,True
same_direction_different_z,P1328,P1377,0.03114,0.30269209548364423,0.9678141366014791,True
same_direction_different_z,P0760,P0914,0.06968,0.3045092180100989,0.9934354485776806,True
same_direction_different_z,P1115,P1519,0.27016999999999997,0.3049447893022024,0.986270022883295,True
same_direction_different_z,P0998,P1566,0.36490999999999996,0.309224235371587,0.9733876867011645,True
same_direction_different_z,P1293,P1390,0.06273000000000001,0.31008607012573597,0.9844180100922434,True
same_direction_different_z,P1355,P1401,0.04037999999999997,0.31153625872852503,0.9746374308135489,True
same_direction_different_z,P1146,P1520,0.25848000000000004,0.31655653809681344,0.9458974673894213,True
same_direction_different_z,P0889,P1246,0.13379999999999997,0.3187489501839172,0.9746282493532643,True
same_direction_different_z,P1033,P1497,0.27429,0.3215121583688745,0.9827683563885367,True
same_direction_different_z,P0910,P1035,0.04766999999999999,0.3220956716578695,0.9643882538230614,True
same_direction_different_z,P1119,P1190,0.030779999999999974,0.324253622269508,0.9953703455052879,True
same_direction_different_z,P0997,P1118,0.04274,0.3270461656393964,0.9747041817148867,True
same_direction_different_z,P1037,P1225,0.07303000000000004,0.32990042627684657,0.9832441001477152,True
same_direction_different_z,P1032,P1255,0.08688000000000001,0.3303836042333298,0.985851191417609,True
same_direction_different_z,P0751,P1470,0.35941,0.3307964276140493,0.9778960845343762,True
same_direction_different_z,P0798,P0962,0.06700999999999999,0.3329007615383844,0.981067444909606,True
same_direction_different_z,P0815,P1200,0.15056999999999998,0.33334879486420965,0.9854721549636803,True
same_direction_different_z,P0788,P1456,0.31825000000000003,0.33430674477203015,0.9864788427593179,True
same_direction_different_z,P0947,P1168,0.08587,0.3353362464030952,0.9703028940457658,True
same_direction_different_z,P1582,P1632,0.10790999999999995,0.3417186854415832,0.971233034615846,True
same_direction_different_z,P0853,P1059,0.07668999999999998,0.34639387060106736,0.987784105608912,True
same_direction_different_z,P0796,P0904,0.04688999999999999,0.34805362023722897,0.9674289684743348,True
same_direction_different_z,P1392,P1652,0.34985999999999995,0.3514589366245067,0.9839827366550571,True
same_direction_different_z,P0858,P1049,0.06722,0.35188885978116125,0.9739358874133294,True
same_direction_different_z,P1644,P1662,0.032970000000000055,0.353534621651469,0.9812887878568576,True
same_direction_different_z,P0735,P1095,0.1639,0.35419250918355594,0.9759610421501067,True
