x1,c,MWEBV,HOST_LOGMASS,shell0_density_proxy,shell1_density_proxy,shell2_density_proxy,shell3_density_proxy,shell4_density_proxy,shell5_density_proxy,shell6_density_proxy,shell7_density_proxy,lc_delta_c,lc_delta_x1,lc_delta_t0,uid
-0.93035,-0.094135,0.0496334,10.4638,1.510937718550364,1.826108967967584,,,,,,,0.0835400580908175,0.3811085794990759,-0.2463883354721474,P0144
-0.52942,0.050626,0.0190022,10.6316,1.5996052424112956,2.2227227506111955,,,,,,,-0.006861712665727,0.0024701722749344,-0.0703071434109006,P0145
-0.79384,0.058475,0.0190022,10.6316,1.5996052424112956,2.2227227506111955,,,,,,,0.02227454685265,0.1083355034972716,-0.0740890135566587,P0146
0.82043,-0.028732,0.0938371,10.854,0.7538726647694906,1.2695362737127316,,,,,,,0.092745427927361,0.0823967313854034,0.0082603239279706,P0147
0.86663,0.011228,0.0938371,10.854,0.7538726647694906,1.2695362737127316,,,,,,,0.0604949461702741,-0.0513767003469279,0.0497040587579249,P0148
-2.30035,0.0991,0.0757605,10.8348,0.6483845273653667,1.4049904419939403,,,,,,,0.0413388704155457,-0.0928921458252345,-0.6935342785218381,P0149
-2.06693,0.095255,0.0757605,10.8348,0.6483845273653667,1.4049904419939403,,,,,,,0.0220175927924792,-0.0914533485711608,-2.816666782266111,P0150
-2.20461,0.10594,0.0757605,10.8348,0.6483845273653667,1.4049904419939403,,,,,,,0.0183049734573842,-0.1703386195346743,-0.4141858780931216,P0151
-1.38336,-0.129604,0.0274359,10.5379,1.0289328336715695,0.7518539379794388,,,,,,,-0.0030059423787385,0.1969040565364406,-0.0431471056508598,P0152
-1.24313,-0.107777,0.0274359,10.5379,1.0289328336715695,0.7518539379794388,,,,,,,-0.0396035934597721,-0.0323004518257619,0.0589844665882992,P0153
-1.47007,-0.131478,0.0274359,10.5379,1.0289328336715695,0.7518539379794388,,,,,,,-0.0335868147118755,-0.1218083085744421,0.1584238884679507,P0154
-1.75207,0.016054,0.10956,8.75604,1.3030624667803443,2.177956457283226,,,,,,,0.0074055142282207,-0.0637525771804479,0.1145917975154588,P0155
-2.14639,-0.005726,0.0609267,9.00235,1.5327737132708232,5.512932047085571,,,,,,,-0.0436904404734758,0.0513278394735636,-0.1658493861032184,P0156
-0.284092,-0.130405,0.0292763,10.0338,1.1350369373957316,1.2737669725321985,,,,,,,0.0217245331636392,0.1364530793248963,-0.0088914405641844,P0157
0.54421,0.019292,0.0432866,9.64099,1.003218404452006,0.9138848023791718,,,,,,,0.0095012748963919,0.1201868678274266,-0.0551305133703863,P0158
-0.329226,-0.002704,0.0432866,9.64099,1.003218404452006,0.9138848023791718,,,,,,,-0.025180123697302,0.2657608200793715,-0.0916800314735155,P0159
0.47579,-0.093154,0.0326925,8.03684,1.2826446612675986,2.608605183183797,,,,,,,-0.0010609583068926,-0.0628095628685813,-0.1124821668345248,P0160
0.83157,-0.102335,0.17993,8.23133,0.8180813153584798,1.3846837735852642,,,,,,,0.0520287643658411,-0.0296012591574434,-0.0569569992512697,P0161
-0.756322,0.13431,0.11361,10.6541,0.6463400244712829,0.7845334215818205,,,,,,,0.0638991918427764,0.0709750580301606,-0.062105629745929,P0162
