category,uid_i,uid_j,delta_z,angle_deg,W_cosine,same_survey
same_direction_different_z,D1365,D1459,0.03163000000000005,0.049603073511924146,0.9977520164497331,True
same_direction_different_z,D1024,D1534,0.16453000000000007,0.04967450106304041,0.9999999999999999,True
same_direction_different_z,D0953,D1341,0.12345999999999996,0.04989211365606926,0.9999999999999999,True
same_direction_different_z,D1572,D1703,0.10489000000000004,0.05020344564630408,0.9900526764551996,True
same_direction_different_z,D0445,D1727,0.51786,0.050377098774562305,0.9999999999999999,True
same_direction_different_z,D0906,D1696,0.32493,0.05039921218723445,0.9999999999999999,True
same_direction_different_z,D0805,D1207,0.13316,0.050459951217768834,0.9954956824897285,True
same_direction_different_z,D1229,D1786,0.36723000000000006,0.05070952512819332,0.9976444980584209,True
same_direction_different_z,D0441,D1546,0.3750899999999999,0.05081177048621231,0.9977418723364211,True
same_direction_different_z,D0375,D1355,0.33563000000000004,0.05113557966215601,0.9952416682684152,True
same_direction_different_z,D0281,D0710,0.18119,0.051216267208939174,0.9999999999999999,True
same_direction_different_z,D0358,D1083,0.26659,0.05124838505667238,0.997575987316303,True
same_direction_different_z,D1055,D1686,0.26339,0.051725591014283166,0.9932912602673086,True
same_direction_different_z,D0784,D1226,0.14785999999999994,0.05180676708314721,0.9953079065806985,True
same_direction_different_z,D1369,D1707,0.18930999999999998,0.05184197138344914,0.9976664824857668,True
same_direction_different_z,D1007,D1680,0.27295,0.05194349777721254,1.0000000000000002,True
same_direction_different_z,D0870,D1283,0.14177000000000006,0.05203837157889493,0.9931548615813207,True
same_direction_different_z,D0308,D0501,0.09235000000000002,0.052186517648492636,0.9887105569539357,True
same_direction_different_z,D0415,D1456,0.35069000000000006,0.052327732340773495,0.9927999637393897,True
same_direction_different_z,D0477,D0772,0.10228999999999999,0.05299456288749057,0.9954650434738692,True
same_direction_different_z,D0806,D1366,0.18064999999999998,0.05312884679257889,0.9954049290692143,True
same_direction_different_z,D0769,D1110,0.11742000000000002,0.05313793774573668,0.9953379699471956,True
same_direction_different_z,D0664,D1231,0.19490999999999997,0.05319468427575214,0.9955356919925976,True
same_direction_different_z,D0311,D1394,0.39272,0.05352135215405174,0.997772850851008,True
same_direction_different_z,D1563,D1676,0.08792999999999995,0.05400236981163744,0.9952269531168536,True
same_direction_different_z,D1203,D1373,0.05056000000000005,0.05414765547227819,0.9887133182844245,True
same_direction_different_z,D0735,D0854,0.03434999999999999,0.054235182506413966,0.9976798143851509,True
same_direction_different_z,D0663,D1065,0.14534999999999998,0.054500388115043756,0.9979367993834799,True
same_direction_different_z,D0827,D1345,0.16832999999999998,0.054706893623323184,0.9954128198502351,True
same_direction_different_z,D0857,D1344,0.16160000000000002,0.05472981002963081,1.0,True
same_direction_different_z,D1129,D1543,0.13707000000000003,0.055575981764480614,0.9976107336649374,True
same_direction_different_z,D0602,D1284,0.24020000000000002,0.055671567357549016,0.9999999999999999,True
same_direction_different_z,D0904,D1547,0.21474,0.05641591599296591,0.9949748425680714,True
same_direction_different_z,D0357,D1085,0.26716999999999996,0.05642416396975734,0.9951458655218787,True
same_direction_different_z,D0392,D0697,0.11077000000000004,0.05658306621940648,0.9824895937256924,True
same_direction_different_z,D1080,D1701,0.26991,0.056711904666056336,0.9917686390010059,True
same_direction_different_z,D1806,D1819,0.12274000000000007,0.05737367583055422,0.9978110189574434,True
same_direction_different_z,D1053,D1787,0.42355,0.05740534279427414,1.0000000000000002,True
same_direction_different_z,D0518,D0996,0.17133000000000004,0.057460719282794816,0.995585164951337,True
same_direction_different_z,D1313,D1407,0.03302000000000005,0.057528656317871164,0.9978939395790762,True
same_direction_different_z,D0363,D1305,0.33048000000000005,0.05773614542952495,0.9977620699088224,True
same_direction_different_z,D0390,D1158,0.26964999999999995,0.0577483270825815,0.9937523049505842,True
same_direction_different_z,D1517,D1607,0.05484,0.0579220250931124,0.9957469346945713,True
same_direction_different_z,D0873,D1502,0.21333000000000002,0.05792227142491636,0.9977426869238359,True
same_direction_different_z,D0788,D1301,0.17112000000000005,0.05792240558935574,0.997675150942748,True
same_direction_different_z,D0887,D1726,0.36492,0.05817372032819757,1.0000000000000002,True
same_direction_different_z,D1216,D1767,0.31536999999999993,0.05819008941660505,0.992827638607938,True
same_direction_different_z,D0227,D1135,0.37826,0.05827470863159926,0.99549802040034,True
same_direction_different_z,D0894,D1466,0.18611,0.0583012735212235,0.995027954226051,True
same_direction_different_z,D1556,D1753,0.17513999999999996,0.058517667727048174,0.9981942035663496,True
same_direction_different_z,D1304,D1570,0.09563999999999995,0.05863828004587908,0.9923444484673621,True
same_direction_different_z,D1021,D1812,0.51976,0.05864263111497332,0.997566909975669,True
same_direction_different_z,D0989,D1192,0.06529000000000007,0.058893101072133414,0.9907299243141211,True
same_direction_different_z,D0237,D1505,0.48534000000000005,0.05893662442405712,0.9955456348712053,True
same_direction_different_z,D0538,D1658,0.42786,0.05894965688268792,0.9974968671630001,True
same_direction_different_z,D1018,D1195,0.05347999999999997,0.05900280685693662,0.9978028145995639,True
same_direction_different_z,D1682,D1794,0.17540999999999995,0.059245883445455824,0.9891747521000185,True
same_direction_different_z,D1077,D1571,0.16518,0.0596950207534166,0.9953596037316065,True
same_direction_different_z,D0550,D1249,0.24344,0.059818115314016165,0.9975874512500478,True
same_direction_different_z,D0611,D1209,0.21316000000000002,0.05984511815373827,0.9921668530068202,True
same_direction_different_z,D1255,D1772,0.31435,0.06024398825174863,0.9944870759770319,True
same_direction_different_z,D0423,D1520,0.3729100000000001,0.060338695863904515,0.9975874512500478,True
same_direction_different_z,D0490,D0968,0.16966000000000003,0.060571770254035616,0.9976744440550529,True
same_direction_different_z,D0844,D1247,0.1361,0.0606635651924035,0.9975178795917451,True
same_direction_different_z,D0803,D0916,0.036839999999999984,0.06072669066082369,0.9952267030562387,True
same_direction_different_z,D1034,D1268,0.07293000000000005,0.06077659805009729,1.0,True
same_direction_different_z,D0855,D1363,0.16823,0.06097668304227381,0.9977728285077951,True
same_direction_different_z,D0315,D0529,0.09214,0.061087046994831605,0.9999999999999999,True
same_direction_different_z,D0592,D1536,0.32935000000000003,0.06125400397269331,0.9957357661394265,True
same_direction_different_z,D1133,D1385,0.07925000000000004,0.061261934254049966,0.9977628861802784,True
same_direction_different_z,D0468,D1264,0.26962,0.061309539865887414,0.9975402155483203,True
same_direction_different_z,D0834,D1340,0.16642,0.06159874210768314,0.9950982806915578,True
same_direction_different_z,D0543,D1181,0.22434000000000004,0.06172159360929143,0.9978517698067374,True
same_direction_different_z,D0504,D1449,0.31772999999999996,0.061734299505975705,0.9935921719991,True
